Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Welfare Check
","Main Gymnasium
","3/4/2024
","2403040027
","3/4/2024
","7:16 AM
","Reporting party can see a student in the middle of the lawn, appears to be having a mental
","Checks ok
"
"Suspicious Person
","Structural and Material Engineering Building
","3/4/2024
","2403040031
","3/4/2024
","8:11 AM
","Non‐Affiliate on the 3rd floor
","Gone on Arrival
"
"Burglary
","Joan and Irwin Jacobs La Jolla Playhouse
","3/4/2024
","2024‐0478
","3/1/2024 ‐ 3/4/2024
","Unknown
","Tools missing from welding shop, no further details at this time
","Report Taken
"
"Suspicious Person
","One Miramar Street
","3/4/2024
","2403040034
","3/4/2024
","8:55 AM
","Unknown male seen using a grinder to cut bicycle lock
","Information Only
"
"Incomplete/Accidental Wireless 911 Call
","Spanos Athletic Performance Center
","3/4/2024
","2403040039
","3/4/2024
","10:17 AM
",,"Logged Event
"
"Medical Aid
","Moores Cancer Center
","3/4/2024
","243040041
","3/4/2024
","10:28 AM
","Medical Transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Outside Agency Courtesy Report: Petty Theft ‐ From Motor Vehicle
","Unknown
","3/4/2024
","2024‐0479
","3/3/2024
","7:00 PM
","Victim's rear license plate stolen while parked in valet at unknown restaurant
","Report Taken
"
"Medical Aid
","La Estancia Hotel
","3/4/2024
","2403040044
","3/4/2024
","10:57 AM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Shoplifting
","Price Center West ‐ Bookstore
","3/4/2024
","2024‐0480
","3/4/2024
","1:27 PM
","Male suspect took a beverage item and bypassed all points of sale, loss $3.29
","Closed By Citation, Adult
"
"Petty Theft
","Urey Hall
","3/4/2024
","2024‐0481
","3/4/2024
","7:15AM‐8:30AM
","Report of stolen purse
","Unfounded
"
"Citizen Contact
","UCSD Police Department
","3/4/2024
","2403040054
","3/4/2024
","2:21 PM
","Property pick‐up
","Service Provided
"
"Welfare Check
","Ariva Way
","3/4/2024
","2403040055
","3/4/2024
","2:28 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Domestic Violence Battery: Simple Assault/ Robbery/ Vandalism
","UCSD Residential Area
","3/4/2024
","2024‐0483
","3/4/2024
","2:55 PM
","Victim's boyfriend spat in her face and forcefully removed her laptop from her person and
","Report Taken
"
"Incomplete/Accidental Landline 911 Call
","Gilman Drive
","3/4/2024
","2403040059
","3/4/2024
","3:17 PM
",,"Logged Event
"
"Indecent Exposure
","Price Center East ‐ Burger King
","3/4/2024
","2024‐0482
","3/4/2024
","3:23 PM
","Reporting party reporting an unknown male who was staring at her while inappropriately
","Report Taken
"
"Reckless Driving
","Interstate 5
","3/4/2024
","2403040061
","3/4/2024
","3:33 PM
",,"Referred to Other Agency ‐ California Highway Patrol
"
"Welfare Check
","Tdlln ‐ Sankofa
","3/4/2024
","2403040062
","3/4/2024
","3:34 PM
",,"Unable to Locate
"
"Suspicious Person
","Halicioglu Data Science Institute
","3/4/2024
","2403040063
","3/4/2024
","4:13 PM
","Unhoused male inside 3rd floor men's restroom, chronic problem with subject staying overnight
","Unable to Locate
"
"Medical Aid
","Koman Family Outpatient Pavilion
","3/4/2024
","2403040064
","3/4/2024
","4:26 PM
","Adult female feeling dizzy, conscious and breathing
","Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Center Hall
","3/4/2024
","2403040067
","3/4/2024
","6:05 PM
","Reporting party concerned for co‐worker having suicidal ideations
","Checks ok
"
"Mental Health Detention
","Trolley ‐ La Jolla Health Station
","3/4/2024
","2024‐0484
","3/4/2024
","7:00PM‐10:18PM
","Suicidal male laying in roadway
","Transported to Hospital
"
"Incomplete/Accidental Landline 911 Call
","Tapestry
","3/4/2024
","2403040072
","3/4/2024
","7:43 PM
",,"Logged Event
"
"Injury
","Mandeville Art Gallery
","3/4/2024
","2024‐0485
","3/4/2024
","7:50 PM
","Student fell off skateboard and injured his ankle
","Referred to Other Agency ‐ San Diego Fire Department
"
"Suspicious Person
","Halicioglu Data Science Institute
","3/4/2024
","2403040074
","3/4/2024
","8:08 PM
","Non‐Affiliate on the 1st floor
","Gone on Arrival
"
"Petty Theft ‐ Micro Mobility Device
","Rimac
","3/4/2024
","2024‐0486
","3/4/2024
","5:00 PM‐8:00 PM
","Secured electric scooter stolen, loss $830.00
","Report Taken
"
"Incomplete/Accidental Wireless 911 Call
","UC San Diego
","3/4/2024
","2403040076
","3/4/2024
","8:33 PM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","UC San Diego
","3/4/2024
","2403040078
","3/4/2024
","8:46 PM
",,"Logged Event
"
"Welfare Check
","Trolley ‐ Central Campus Station
","3/4/2024
","2403040079
","3/4/2024
","10:10 PM
","Male requesting paramedics
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/Accidental Landline 911 Call
","UC San Diego
","3/4/2024
","2403040080
","3/4/2024
","10:24 PM
",,"Logged Event
"
"Noise Disturbance
","Rough Draft Brewing
","3/4/2024
","2403040082
","3/4/2024
","10:51 PM
","Group talking loudly
","Referred to Student Conduct
"
"Medical Aid
","Catalyst
","3/4/2024
","2403040083
","3/4/2024
","11:06 PM
","Young adult female accidentally cut herself, conscious and breathing
","Referred to Other Agency ‐ San Diego Fire Department
"
"Battery ‐ Simple Assault
","UC San Diego Health East Campus Medical Center
","3/4/2024
","EC24‐03‐03‐0021
","3/3/2024
","6:15 PM
","Patient spit on nurse
","Information Only
"
"Fire Alarm
","Scholars Drive‐ South
","2/7/2024
","2402070004
","2/7/2024
","2:29 AM
",,"False Alarm
"
"Welfare Check
","Matthews Lane
","2/7/2024
","2024‐0280
","2/7/2024
","2:31am‐04:26am
","Unknown subject sleeping underneath a tree
","Report Taken
"
"Suicide Attempt
","Glider port
","2/7/2024
","2402070006
","2/7/2024
","2:34 AM
","Unknown subject has a large open wound on bicep
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/Accidental Wireless 911 Call
","Gilman Drive
","2/7/2024
","2402070009
","2/7/2024
","5:25 AM
",,"Logged Event
"
"Incomplete/Accidental Wireless 911 Call
","Genesee Avenue
","2/7/2024
","2402070010
","2/7/2024
","5:27 AM
",,"Logged Event
"
"Suspicious Vehicle
","North Torrey Pines
","2/7/2024
","2402070011
","2/7/2024
","5:31 AM
","Landscape reporting damage to vehicle and trash around car
","Field Interview
"
"Medical Aid
","Genesee Avenue
","2/7/2024
","2402070026
","2/7/2024
","9:14 AM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Fraud
","Trolley ‐ La Jolla Health Station
","2/7/2024
","2024‐0282
","2/7/2024
","9:37 AM
","Forged/counterfeit passport cards and bank cards found
","Report Taken
"
"Injury
","Biomedical Sciences Way
","2/7/2024
","2024‐0281
","2/7/2024
","10:15am
","Older adult male fell and bumped his head in dining area, medical transportation declined
","Report Taken
"
"Citizen Contact
","Hopkins Drive
","2/7/2024
","2402070032
","2/7/2024
","11:27 AM
","Per Security, female student advised an unknown male was following her and taking pictures
","Service Provided
"
"Disturbance
","Torrey Pines Road/La Jolla Shores Drive
","2/7/2024
","2402070033
","2/7/2024
","11:44 AM
","Unknown male harassing a woman at a bus stop
","Referred to Other Agency ‐ San Diego Police Department
"
"Information
","Medical Center Drive
","2/7/2024
","2402070037
","2/7/2024
","12:39 PM
","Unknown male carrying a plastic bag was trying to light a vape & papers in lobby
","Information Only
"
"Welfare Check
","La Jolla Village Drive
","2/7/2024
","2402070039
","2/7/2024
","12:46 PM
","Unknown subject seen sleeping in the road
","Referred to Other Agency ‐ San Diego Police Department
"
"Medical Aid
","Voigt Drive
","2/7/2024
","2402070040
","2/7/2024
","12:47 PM
","Female feeling faint, medical aid declined
","Service Provided
"
"Incomplete/Accidental Wireless 911 Call
","Russell Lane
","2/7/2024
","2402070041
","2/7/2024
","12:59 PM
",,"Logged Event
"
"Missing Vehicle
","Athena Circle
","2/7/2024
","2402070042
","2/7/2024
","1:23 PM
",,"Cancelled
"
"Fire: Non‐Criminal
","Piedra
","2/7/2024
","2024‐0283
","2/7/2024
","1:56 PM
","Electric scooter battery ignited by unknown cause, minor damage to flooring, no injuries
","Report Taken
"
"Property Damage
","North Point Lane
","2/7/2024
","2024‐0284
","2/7/2024
","2:45 PM
","Damaged to UC owned vehicle due to a sudden gust of wind, vehicle sustained broken rear
","Report Taken
"
"Traffic Hazard
","La Jolla Village Drive
","2/7/2024
","2402070048
","2/7/2024
","5:17 PM
","Via 911 call; report of large sink hole, one stuck inside
","Referred to Other Agency ‐ San Diego Police Department
"
"Citizen Contact
","UCSD Police Department
","2/7/2024
","2402070049
","2/7/2024
","5:55 PM
","Property pick‐up
","Service Provided
"
"Citizen Assist
","Campus Point Drive/East Medical Center Drive
","2/7/2024
","2402070050
","2/7/2024
","5:57 PM
","Reporting party feels she is being held against her will at hospital
","Referred to Other UCSD Department ‐ Thornton Pavilion
"
"Incomplete/Accidental Wireless 911 Call
","La Jolla Village Drive
","2/7/2024
","2402070053
","2/7/2024
","6:33 PM
",,"Logged Event
"
"Incomplete/Accidental Landline 911 Call
","Scholars Drive ‐ North
","2/7/2024
","2402070054
","2/7/2024
","6:47 PM
",,"Logged Event
"
"Fire Alarm
","Scholars Drive ‐ North
","2/7/2024
","2402070055
","2/7/2024
","7:16 PM
",,"False Alarm
"
"Illegal Camping
","Biological Grade
","2/7/2024
","2402070056
","2/7/2024
","7:43 PM
","Report of cardboard, trash and clothes left at the bottom of the stairs
","Checks Ok
"
"Petty Theft
","Regents Road
","2/7/2024
","2024‐0286
","2/7/2024
","10:00 am‐7:45 pm
","Secured bicycle stolen, loss $300.00
","Report Taken
"
"Incomplete/Accidental Wireless 911 Call
","Gilman Drive
","2/7/2024
","2402070058
","2/7/2024
","8:05 PM
",,"Logged Event
"
"Fire Alarm
","Scholars Drive‐ South
","2/7/2024
","2402070059
","2/7/2024
","8:14 PM
",,"False Alarm
"
"Property Damage
","Parking Lot P418
","2/7/2024
","2024‐0285
","2/7/2024
","8:25 am‐8:30 am
","Stop sign knocked down and bent at base
","Report Taken
"
"Medical Aid
","Voigt Drive
","2/7/2024
","2402070065
","2/7/2024
","8:45 PM
","Adult male complaining of knee pain from being hit by vehicle 2 weeks prior
","Transported to Hospital
"
"Drug Law Arrest
","Cala
","2/7/2024
","2024‐0287
","2/7/2024
","8:58 PM
","Original call for male casing bicycles
","Checks OK
"
"Incomplete/Accidental Landline 911 Call
","Miramar Street
","2/7/2024
","2402070067
","2/7/2024
","9:16 PM
",,"Logged Event
"
"Security Alarm
","Scholars Drive ‐ North
","2/7/2024
","2402070070
","2/7/2024
","10:46 PM
",,"False Alarm
"
"Suspicious Circumstance
","Pharmacy Lane
","2/7/2024
","2024‐0288
","2/7/2024
","10:20pm‐11:54pm
","Reporting party received AirTag detected alert and found it in the crease of seat, unknown who
","Report Taken
"
"Noise Disturbance
","Oceania Hall
","2/11/2024
","2402110001
","2/11/2024
","12:06 AM
","Girls screaming, not in distress
","Referred to Student Conduct
"
"Noise Disturbance
","Thurgood Marshall Res Hall
","2/11/2024
","2402110004
","2/11/2024
","12:29 AM
","Loud banging and stomping
","Referred to Student Conduct
"
"Fire Alarm
","Argo Hall
","2/11/2024
","2402110005
","2/11/2024
","12:41 AM
",,"False Alarm
"
"Quiet Hours Contact
","Black Apartments
","2/11/2024
","2402110008
","2/11/2024
","12:53 AM
",,"Referred to Student Conduct
"
"Citizen Assist
","Interstate 5/ Carmel Valley Rd
","1/11/2024
","2402110015
","1/11/2024
","2:53 AM
","Male requesting location of a hospital other than UCSD
","Service Provided
"
"Noise Disturbance
","Seventh College West
","2/11/2024
","2402110017
","2/11/2024
","2:57 AM
","Music coming from common area
","Referred to Student Conduct
"
"Excessive Alcohol: Overinoxication in Residence
","Stewart Hall
","2/11/2024
","2024‐0313
","2/11/2024
","3:59 AM ‐ 4:44 AM
","Intoxicated female student unable to stand on her own
","Transported to Hospital
"
"Incomplete/ Accidental Wireless 911 Call
","UC San Diego
","2/11/2024
","2402110020
","2/11/2024
","6:16 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","UC San Diego
","2/11/2024
","2402110021
","2/11/2024
","7:08 AM
",,"Logged Event
"
"Welfare Check
","Torrey Pines Gliderport
","2/11/2024
","2402110023
","2/11/2024
","7:13 AM
","Male reporting his spouse is having suicidal ideations
","Referred to Other Agency ‐ San Diego Police Department
"
"Welfare Check
","Trolley ‐ Central Campus Station
","2/11/2024
","2402110029
","2/11/2024
","12:12 PM
","Subject in restroom for long time
","Checks OK
"
"Suspicious Circumstances
","Marshall Upper Apartments
","2/11/2024
","2402110030
","2/10/2024
","12:18 PM
","Report of unknown minor female, entered apartment through unlocked side door, went to
","Service Provided
"
"Citizen Contact
","UCSD Police Department
","2/11/2024
","2402110031
","2/11/2024
","12:43 PM
","Property pick‐up
","Service Provided
"
"Disturbance
","Mesa Nueva
","2/11/2024
","2402110034
","2/11/2024
","1:43 PM
","Group of trick skaters
","Will Cooperate
"
"Campus Security Authority Report
","Alvarado Hospital
","2/11/2024
","2402110036
","2/11/2024
","2:08 PM
","Psychiatric patient grabbed crotch of nurse
","Information Only
"
"Petty Theft
","Viento
","2/11/2024
","2024‐0314
","2/11/2024
","5:10 PM
","Secured bicycle stolen, loss $900.00
","Report Taken
"
"Incomplete/ Accidental Landline 911 Call
","Kaleidoscope
","2/11/2024
","2402110043
","2/11/2024
","6:03 PM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Interstate 5/ La Jolla Village Drive
","2/11/2024
","2402110044
","2/11/2024
","6:23 PM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Brisa
","2/11/2024
","2402110050
","2/11/2024
","8:40 PM
",,"Logged Event
"
"Noise Disturbance
","Capa
","2/11/2024
","2402110056
","2/11/2024
","10:36 PM
","Loud music coming from 9th or 10th floor
","Unable to Locate
"
"Noise Disturbance
","Tuolumne Apartments
","2/11/2024
","2402110057
","2/11/2024
","10:36 PM
","Subjects outside building talking and laughing loudly
","Referred to Student Conduct
"
"Alcohol Contact
","Tuolumne Apartments
","2/11/2024
","2402110061
","2/11/2024
","11:06 PM
",,"Referred to Student Conduct
"
"Petty Theft
","Kaleidoscope
","2/11/2024
","2024‐0315
","2/11/2024
","11:27 PM
","Secured bicycle stolen, loss $1,035.00
","Report Taken
"
"Trespassing
","UCSD Medical Center ‐ Alvarado Hospital
","2/11/2024
","EC24‐02‐10‐0004
","2/10/2024
","2:05 AM
","Subject causing disturbance inside emergency room lobby
","Referred to Other Agency ‐ San Diego Police Department
"
"Obstruct/Resist Police Officer - Simple Assault/ Drug law Arrest
","Trolley - Central Campus Station
","3/20/2024
","2024-0593
","3/19/2024 - 3/20/2024
","1:19 AM - 3:20 AM
","Suspect contacted following a report of a subject walking up stairs towards trolley platform,
","Closed by Adult Arrest
"
"Suspicious Person
","Trolley - Central Campus Station
","3/20/2024
","2403200004
","3/20/2024
","2:30 AM
",,"Checks OK
"
"Information
","Campus Services Complex - Gas Pumps
","3/20/2024
","2403200006
","3/20/2024
","4:33 AM
","Door on gas pump not secure
","Referred to Other UCSD Department - Central Plant
"
"Medical Aid
","Regents Road
","3/20/2024
","2403200012
","3/20/2024
","6:59 AM
",,"Referred to Other Agency - San Diego Fire Department
"
"Suspicious Circumstances
","Scholars Parking
","3/20/2024
","2403200018
","3/20/2024
","9:25 AM
","Staff discovered a knife, an odor of marijuana and what appears to be a ""hang out"" spot for
","Information Only
"
"Injury
","Moores Cancer Center
","3/20/2024
","2403200021
","3/20/2024
","9:53 AM
","Female fell just outside location
","Referred to Other Agency - San Diego Fire Department
"
"Petty Theft
","Gildred Latin American Studies
","3/20/2024
","2024-0594
","3/15/2024 - 3/18/2024
","Unknown
","Unknown suspect(s) stole clothing items from office, loss $10.00
","Report Taken
"
"Welfare Check
","Nobel Drive
","3/20/2024
","2403200028
","3/20/2024
","12:06 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Found Property
","Trolley - Central Campus Station
","3/20/2024
","2403200032
","3/20/2024
","1:17 PM
","Found wallet
","Information Only
"
"Information
","Sheila and Hughes Potiker Theater
","3/20/2024
","2024-0595
","3/20/2024
","1:26 PM - 1:51 PM
","Report of non-affiliate female in Plaza area, unable to wake up, unresponsive
","Referred to Other Agency- San Diego Fire Department
"
"Injury
","Shiley Eye Institute
","3/20/2024
","2403200034
","3/20/2024
","2:33 PM
","Female patient fell at home and was then dropped off at location, having memory trouble
","Referred to Other Agency - San Diego Fire Department
"
"Discharge of Firearm
","Nobel Drive
","3/20/2024
","2403200038
","3/20/2024
","3:05 PM
","Caller thinks they heard shots fired
","Referred to Other Agency- San Diego Police Department
"
